,,Input cell,,Calculated cell,,,,,,,,,
Do you want to override this assumption =,No,"Many young, growth companies fail, especially if they have trouble raising cash. Many distressed companies fail, because they have trouble making debt payments.",,,,,,,,,,,
"If yes, enter the probability of failure =",0.12,"Tough to estimate but a key input. Use the failure rate worksheet, if necessary.",,,,,,,,,,,
What do you want to tie your proceeds in failure to?,V,"B: Book value of capital, V= Estimated fair value for the company",,,,,,,,,,,
Enter the distress proceeds as percentage of book or fair value,0.5,"This can be zero, if the assets will be worth nothing if the firm fails.",,,,,,,,,,,
"I assume that reinvestment in a year translates into growth in the next year, i.e., there is a one year lag between reinvesting and generating growth from that reinvestment.",,,,,,,,,,,,,
Do you want override this assumption =,No,,,,,,,,,,,,
"If yes, enter a different lag (0 = no lag to 3 = lag of 3 years)",1,,,,,,,,,,,,
"I will assume that your effective tax rate will adjust to your marginal tax rate by your terminal year. If you override this assumption, I will leave the tax rate at your effective tax rate.",,,,,,,,,,,,,
Do you want to override this assumption =,No,,,,,,,,,,,,
"I will assume that you have no losses carried forward from prior years ( NOL) coming into the valuation. If you have a money losing company, you may want to override tis.",,,,,,,,,,,,,
Do you want to override this assumption =,No,Check the financial statements.,,,,,,,,,,,
"If yes, enter the NOL that you are carrying over into year 1",=474.8+256.6,"An NOL will shield your income from taxes, even after you start making money.",,,,,,,,,,,
"I will asssume that today's risk free rate will prevail in perpetuity. If you override this assumption, I will change the riskfree rate after year 10.",,,,,,,,,,,,,
Do you want to override this assumption =,No,"If yes, you will be asked to enter a normal risk free rate and your growth in perpetuity will be adjusted accordingly.",,,,,,,,,,,
"If yes, enter the riskfree rate after year 10",0.02,Enter your estimate of what the riskfree rate (in your currency of choice) will be after year 10,,,,,,,,,,,
"I will assume that the growth rate in perpetuity will be equal to the risk free rate. This allows for both valuation consistency and prevents ""impossible"" growth rates.",,,,,,,,,,,,,
Do you want to override this assumption =,No,This is an option to let you use a negative growth rate in perpetuity or to even liquidate the firm.,,,,,,,,,,,
"If yes, enter the growth rate in perpetuity",-0.05,"This can be negative, if you feel the company will decline (and disappear) after growth is done. If you let it exceed the risk free rate, you are on your own in uncharted territory.",,,,,,,,,,,
I have assumed that none of the cash is trapped (in foreign countries) and that there is no additional tax liability coming due and that cash is a neutral asset.,,,,,,,,,,,,,
Do you want to override this assumption,No,,,,,,,,,,,,
"If yes, enter trapped cash (if taxes) or entire balance (if mistrust)",140000,Cash that is trapped in foreign markets (and subject to additoinal tax) or cash that is being discounted by the market (because of management mistrust),,,,,,,,,,,
& Average tax rate of the foreign markets where the cash is trapped,0.15,Additional tax rate due on trapped cash or discount being applied to cash balance because of mistrust.,,,,,,,,,,,
